city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Indore,24-09-2023,India,Australia,"Holkar Cricket Stadium, Indore",Australia,field,99,0,India
Nottingham,23-09-2023,England,Ireland,"Trent Bridge, Nottingham",Ireland,field,48,0,England
Dhaka,23-09-2023,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,86,0,New Zealand
Chandigarh,22-09-2023,Australia,India,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",India,field,0,5,India
Dhaka,21-09-2023,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,0,0,
Colombo,17-09-2023,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,0,10,India
Johannesburg,17-09-2023,South Africa,Australia,"The Wanderers Stadium, Johannesburg",Australia,field,122,0,South Africa
Colombo,15-09-2023,Bangladesh,India,"R Premadasa Stadium, Colombo",India,field,6,0,Bangladesh
London,15-09-2023,England,New Zealand,"Lord's, London",England,bat,100,0,England
Centurion,15-09-2023,South Africa,Australia,"SuperSport Park, Centurion",Australia,field,164,0,South Africa
Colombo,14-09-2023,Pakistan,Sri Lanka,"R Premadasa Stadium, Colombo",Pakistan,bat,0,2,Sri Lanka
London,13-09-2023,England,New Zealand,"Kennington Oval, London",New Zealand,field,181,0,England
Potchefstroom,12-09-2023,South Africa,Australia,"Sedgars Park, Potchefstroom",Australia,field,111,0,South Africa
Colombo,12-09-2023,India,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat,41,0,India
Colombo,11-09-2023,India,Pakistan,"R Premadasa Stadium, Colombo",Pakistan,field,228,0,India
Southampton,10-09-2023,England,New Zealand,"The Rose Bowl, Southampton",New Zealand,field,79,0,England
Bloemfontein,09-09-2023,Australia,South Africa,"Mangaung Oval, Bloemfontein",South Africa,field,123,0,Australia
Colombo,09-09-2023,Sri Lanka,Bangladesh,"R Premadasa Stadium, Colombo",Bangladesh,field,21,0,Sri Lanka
Cardiff,08-09-2023,England,New Zealand,"Sophia Gardens, Cardiff",New Zealand,field,0,8,New Zealand
Bloemfontein,07-09-2023,South Africa,Australia,"Mangaung Oval, Bloemfontein",Australia,field,0,3,Australia
Lahore,06-09-2023,Bangladesh,Pakistan,"Gaddafi Stadium, Lahore",Bangladesh,bat,0,7,Pakistan
Lahore,05-09-2023,Sri Lanka,Afghanistan,"Gaddafi Stadium, Lahore",Sri Lanka,bat,2,0,Sri Lanka
Kandy,04-09-2023,Nepal,India,Pallekele International Cricket Stadium,India,field,0,10,India
Lahore,03-09-2023,Bangladesh,Afghanistan,"Gaddafi Stadium, Lahore",Bangladesh,bat,89,0,Bangladesh
Kandy,02-09-2023,India,Pakistan,Pallekele International Cricket Stadium,India,bat,0,0,
Kandy,31-08-2023,Bangladesh,Sri Lanka,Pallekele International Cricket Stadium,Bangladesh,bat,0,5,Sri Lanka
Multan,30-08-2023,Pakistan,Nepal,Multan Cricket Stadium,Pakistan,bat,238,0,Pakistan
Colombo,26-08-2023,Pakistan,Afghanistan,"R Premadasa Stadium, Colombo",Pakistan,bat,59,0,Pakistan
Hambantota,24-08-2023,Afghanistan,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Afghanistan,bat,0,1,Pakistan
Hambantota,22-08-2023,Pakistan,Afghanistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Pakistan,bat,142,0,Pakistan
Tarouba,01-08-2023,India,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,200,0,India
Bridgetown,29-07-2023,India,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,0,6,West Indies
Bridgetown,27-07-2023,West Indies,India,"Kensington Oval, Bridgetown, Barbados",India,field,0,5,India
Chattogram,11-07-2023,Afghanistan,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Afghanistan,bat,0,7,Bangladesh
Harare,09-07-2023,Sri Lanka,Netherlands,Harare Sports Club,Netherlands,field,128,0,Sri Lanka
Chattogram,08-07-2023,Afghanistan,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,field,142,0,Afghanistan
Harare,07-07-2023,West Indies,Sri Lanka,Harare Sports Club,Sri Lanka,field,0,8,Sri Lanka
Bulawayo,06-07-2023,Scotland,Netherlands,"Queens Sports Club, Bulawayo",Netherlands,field,0,4,Netherlands
Harare,06-07-2023,United Arab Emirates,United States of America,"Takashinga Sports Club, Highfield, Harare",United Arab Emirates,bat,1,0,United Arab Emirates
Harare,05-07-2023,Oman,West Indies,Harare Sports Club,West Indies,field,0,7,West Indies
Chattogram,05-07-2023,Bangladesh,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram",Afghanistan,field,17,0,Afghanistan
Bulawayo,04-07-2023,Scotland,Zimbabwe,"Queens Sports Club, Bulawayo",Zimbabwe,field,31,0,Scotland
Harare,04-07-2023,Nepal,Ireland,"Takashinga Sports Club, Highfield, Harare",Ireland,field,0,2,Ireland
Harare,03-07-2023,Netherlands,Oman,Harare Sports Club,Oman,field,74,0,Netherlands
Bulawayo,02-07-2023,Zimbabwe,Sri Lanka,"Queens Sports Club, Bulawayo",Sri Lanka,field,0,9,Sri Lanka
Harare,02-07-2023,United Arab Emirates,Nepal,"Takashinga Sports Club, Highfield, Harare",Nepal,field,0,3,Nepal
Harare,01-07-2023,West Indies,Scotland,Harare Sports Club,Scotland,field,0,7,Scotland
Harare,30-06-2023,United States of America,Ireland,"Takashinga Sports Club, Highfield, Harare",Ireland,field,0,6,Ireland
Bulawayo,30-06-2023,Sri Lanka,Netherlands,"Queens Sports Club, Bulawayo",Sri Lanka,bat,21,0,Sri Lanka
Bulawayo,29-06-2023,Zimbabwe,Oman,"Queens Sports Club, Bulawayo",Oman,field,14,0,Zimbabwe
Bulawayo,27-06-2023,Sri Lanka,Scotland,"Queens Sports Club, Bulawayo",Scotland,field,82,0,Sri Lanka
Bulawayo,27-06-2023,Ireland,United Arab Emirates,Bulawayo Athletic Club,United Arab Emirates,field,138,0,Ireland
Harare,26-06-2023,Zimbabwe,United States of America,Harare Sports Club,United States of America,field,304,0,Zimbabwe
Harare,26-06-2023,West Indies,Netherlands,"Takashinga Sports Club, Highfield, Harare",Netherlands,field,0,0,
Bulawayo,25-06-2023,Sri Lanka,Ireland,"Queens Sports Club, Bulawayo",Ireland,field,133,0,Sri Lanka
Bulawayo,25-06-2023,Scotland,Oman,Bulawayo Athletic Club,Oman,field,76,0,Scotland
Harare,24-06-2023,Nepal,Netherlands,"Takashinga Sports Club, Highfield, Harare",Netherlands,field,0,7,Netherlands
Harare,24-06-2023,Zimbabwe,West Indies,Harare Sports Club,West Indies,field,35,0,Zimbabwe
Bulawayo,23-06-2023,Scotland,United Arab Emirates,Bulawayo Athletic Club,United Arab Emirates,field,111,0,Scotland
Bulawayo,23-06-2023,Oman,Sri Lanka,"Queens Sports Club, Bulawayo",Sri Lanka,field,0,10,Sri Lanka
Harare,22-06-2023,West Indies,Nepal,Harare Sports Club,Nepal,field,101,0,West Indies
Harare,22-06-2023,United States of America,Netherlands,"Takashinga Sports Club, Highfield, Harare",Netherlands,field,0,5,Netherlands
Bulawayo,21-06-2023,United Arab Emirates,Oman,Bulawayo Athletic Club,Oman,field,0,5,Oman
Bulawayo,21-06-2023,Ireland,Scotland,"Queens Sports Club, Bulawayo",Scotland,field,0,1,Scotland
Harare,20-06-2023,Netherlands,Zimbabwe,Harare Sports Club,Zimbabwe,field,0,6,Zimbabwe
Harare,20-06-2023,United States of America,Nepal,"Takashinga Sports Club, Highfield, Harare",Nepal,field,0,6,Nepal
Bulawayo,19-06-2023,Ireland,Oman,Bulawayo Athletic Club,Oman,field,0,5,Oman
Bulawayo,19-06-2023,Sri Lanka,United Arab Emirates,"Queens Sports Club, Bulawayo",United Arab Emirates,field,175,0,Sri Lanka
Harare,18-06-2023,West Indies,United States of America,"Takashinga Sports Club, Highfield, Harare",United States of America,field,39,0,West Indies
Harare,18-06-2023,Nepal,Zimbabwe,Harare Sports Club,Zimbabwe,field,0,8,Zimbabwe
Sharjah,09-06-2023,United Arab Emirates,West Indies,Sharjah Cricket Stadium,United Arab Emirates,bat,0,4,West Indies
Hambantota,07-06-2023,Afghanistan,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Afghanistan,bat,0,9,Sri Lanka
Sharjah,06-06-2023,West Indies,United Arab Emirates,Sharjah Cricket Stadium,West Indies,bat,78,0,West Indies
Sharjah,04-06-2023,United Arab Emirates,West Indies,Sharjah Cricket Stadium,United Arab Emirates,bat,0,7,West Indies
Hambantota,04-06-2023,Sri Lanka,Afghanistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Sri Lanka,bat,132,0,Sri Lanka
Hambantota,02-06-2023,Sri Lanka,Afghanistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Afghanistan,field,0,6,Afghanistan
Chelmsford,14-05-2023,Bangladesh,Ireland,"County Ground, Chelmsford",Ireland,field,5,0,Bangladesh
Chelmsford,12-05-2023,Ireland,Bangladesh,"County Ground, Chelmsford",Bangladesh,field,0,3,Bangladesh
Chelmsford,09-05-2023,Bangladesh,Ireland,"County Ground, Chelmsford",Ireland,field,0,0,
Karachi,07-05-2023,New Zealand,Pakistan,"National Stadium, Karachi",New Zealand,bat,47,0,New Zealand
Karachi,05-05-2023,Pakistan,New Zealand,"National Stadium, Karachi",New Zealand,field,102,0,Pakistan
Karachi,03-05-2023,Pakistan,New Zealand,"National Stadium, Karachi",New Zealand,field,26,0,Pakistan
Kirtipur,02-05-2023,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,0,7,Nepal
Rawalpindi,29-04-2023,New Zealand,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,0,7,Pakistan
Kathmandu,29-04-2023,United Arab Emirates,Oman,Mulpani Cricket Ground,Oman,field,2,0,United Arab Emirates
Rawalpindi,27-04-2023,New Zealand,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,0,5,Pakistan
Kirtipur,21-04-2023,Nepal,Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Oman,field,84,0,Nepal
Windhoek,05-04-2023,Canada,Papua New Guinea,"United Cricket Club Ground, Windhoek",Canada,bat,90,0,Canada
Windhoek,05-04-2023,United Arab Emirates,Jersey,"Wanderers Cricket Ground, Windhoek",United Arab Emirates,bat,66,0,United Arab Emirates
Windhoek,04-04-2023,United States of America,Jersey,"United Cricket Club Ground, Windhoek",Jersey,field,25,0,United States of America
Windhoek,04-04-2023,Namibia,Canada,"Wanderers Cricket Ground, Windhoek",Namibia,bat,111,0,Namibia
Windhoek,02-04-2023,United States of America,Papua New Guinea,"Wanderers Cricket Ground, Windhoek",United States of America,bat,117,0,United States of America
Johannesburg,02-04-2023,South Africa,Netherlands,"The Wanderers Stadium, Johannesburg",Netherlands,field,146,0,South Africa
Windhoek,02-04-2023,United Arab Emirates,Namibia,"United Cricket Club Ground, Windhoek",Namibia,field,28,0,United Arab Emirates
Windhoek,01-04-2023,Jersey,Papua New Guinea,"United Cricket Club Ground, Windhoek",Jersey,bat,11,0,Jersey
Windhoek,01-04-2023,Canada,United Arab Emirates,"Wanderers Cricket Ground, Windhoek",Canada,bat,0,6,United Arab Emirates
Benoni,31-03-2023,Netherlands,South Africa,"Willowmoore Park, Benoni",South Africa,field,0,8,South Africa
Hamilton,31-03-2023,Sri Lanka,New Zealand,"Seddon Park, Hamilton",Sri Lanka,bat,0,6,New Zealand
Windhoek,30-03-2023,Jersey,Namibia,"Wanderers Cricket Ground, Windhoek",Jersey,bat,0,8,Namibia
Windhoek,30-03-2023,United Arab Emirates,United States of America,"United Cricket Club Ground, Windhoek",United Arab Emirates,bat,0,5,United States of America
Windhoek,29-03-2023,Canada,United States of America,"Wanderers Cricket Ground, Windhoek",United States of America,field,26,0,Canada
Windhoek,27-03-2023,United Arab Emirates,Papua New Guinea,"Wanderers Cricket Ground, Windhoek",Papua New Guinea,field,21,0,United Arab Emirates
Windhoek,26-03-2023,United States of America,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,80,0,United States of America
Auckland,25-03-2023,New Zealand,Sri Lanka,"Eden Park, Auckland",Sri Lanka,field,198,0,New Zealand
Harare,25-03-2023,Netherlands,Zimbabwe,Harare Sports Club,Netherlands,bat,0,7,Zimbabwe
Sylhet,23-03-2023,Ireland,Bangladesh,Sylhet International Cricket Stadium,Ireland,bat,0,10,Bangladesh
Harare,23-03-2023,Zimbabwe,Netherlands,Harare Sports Club,Zimbabwe,bat,1,0,Zimbabwe
Chennai,22-03-2023,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",Australia,bat,21,0,Australia
Potchefstroom,21-03-2023,West Indies,South Africa,"Senwes Park, Potchefstroom",South Africa,field,0,4,South Africa
Harare,21-03-2023,Zimbabwe,Netherlands,Harare Sports Club,Netherlands,field,0,3,Netherlands
Sylhet,20-03-2023,Bangladesh,Ireland,Sylhet International Cricket Stadium,Ireland,field,0,0,
Visakhapatnam,19-03-2023,India,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Australia,field,0,10,Australia
Sylhet,18-03-2023,Bangladesh,Ireland,Sylhet International Cricket Stadium,Ireland,field,183,0,Bangladesh
East London,18-03-2023,West Indies,South Africa,"Buffalo Park, East London",West Indies,bat,48,0,West Indies
Mumbai,17-03-2023,Australia,India,"Wankhede Stadium, Mumbai",India,field,0,5,India
Kirtipur,16-03-2023,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",United Arab Emirates,bat,9,0,Nepal
Kirtipur,15-03-2023,Papua New Guinea,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Papua New Guinea,bat,0,6,United Arab Emirates
Kirtipur,13-03-2023,Papua New Guinea,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,0,9,Nepal
Kirtipur,12-03-2023,Nepal,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,177,0,Nepal
Kirtipur,10-03-2023,Papua New Guinea,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",United Arab Emirates,field,56,0,Papua New Guinea
Kirtipur,09-03-2023,Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Papua New Guinea,field,52,0,Nepal
Dubai,06-03-2023,Nepal,United Arab Emirates,Dubai International Cricket Stadium,Nepal,bat,42,0,Nepal
Chattogram,06-03-2023,Bangladesh,England,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,bat,50,0,Bangladesh
Dubai,05-03-2023,United Arab Emirates,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,field,0,5,Papua New Guinea
Dubai,03-03-2023,Papua New Guinea,Nepal,Dubai International Cricket Stadium,Papua New Guinea,bat,0,3,Nepal
Dhaka,03-03-2023,England,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,132,0,England
Dubai,02-03-2023,United Arab Emirates,Nepal,Dubai International Cricket Stadium,Nepal,field,68,0,United Arab Emirates
Dhaka,01-03-2023,Bangladesh,England,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,0,3,England
Dubai,28-02-2023,Papua New Guinea,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,131,0,Papua New Guinea
Dubai,25-02-2023,United Arab Emirates,Namibia,Dubai International Cricket Stadium,Namibia,field,0,7,Namibia
Dubai,23-02-2023,Namibia,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,0,1,United Arab Emirates
Kirtipur,21-02-2023,Scotland,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,0,2,Nepal
Kirtipur,20-02-2023,Scotland,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,field,43,0,Scotland
Kirtipur,18-02-2023,Namibia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,0,3,Nepal
Kirtipur,17-02-2023,Scotland,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,0,3,Nepal
Kirtipur,15-02-2023,Namibia,Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",Scotland,field,0,10,Scotland
Kirtipur,14-02-2023,Namibia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,0,2,Nepal
Kimberley,01-02-2023,England,South Africa,"Diamond Oval, Kimberley",South Africa,field,59,0,England
Bloemfontein,29-01-2023,England,South Africa,"Mangaung Oval, Bloemfontein",South Africa,field,0,5,South Africa
Bloemfontein,27-01-2023,South Africa,England,"Mangaung Oval, Bloemfontein",South Africa,bat,27,0,South Africa
Indore,24-01-2023,India,New Zealand,"Holkar Cricket Stadium, Indore",New Zealand,field,90,0,India
Harare,23-01-2023,Zimbabwe,Ireland,Harare Sports Club,Zimbabwe,bat,0,0,
Harare,21-01-2023,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,46,0,Ireland
Raipur,21-01-2023,New Zealand,India,"Shaheed Veer Narayan Singh International Stadium, Raipur",India,field,0,8,India
Hyderabad,18-01-2023,India,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,bat,12,0,India
Harare,18-01-2023,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,0,3,Zimbabwe
Thiruvananthapuram,15-01-2023,India,Sri Lanka,"Greenfield International Stadium, Thiruvananthapuram",India,bat,317,0,India
Karachi,13-01-2023,Pakistan,New Zealand,"National Stadium, Karachi",Pakistan,bat,0,2,New Zealand
Kolkata,12-01-2023,Sri Lanka,India,"Eden Gardens, Kolkata",Sri Lanka,bat,0,4,India
Karachi,11-01-2023,New Zealand,Pakistan,"National Stadium, Karachi",New Zealand,bat,79,0,New Zealand
Guwahati,10-01-2023,India,Sri Lanka,"Barsapara Cricket Stadium, Guwahati",Sri Lanka,field,67,0,India
Karachi,09-01-2023,New Zealand,Pakistan,"National Stadium, Karachi",Pakistan,field,0,6,Pakistan
Chattogram,10-12-2022,India,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,field,227,0,India
Windhoek,08-12-2022,Nepal,Scotland,"United Cricket Club Ground, Windhoek",Nepal,bat,0,8,Scotland
Dhaka,07-12-2022,Bangladesh,India,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,5,0,Bangladesh
Windhoek,07-12-2022,Namibia,Nepal,"United Cricket Club Ground, Windhoek",Nepal,field,86,0,Namibia
Windhoek,05-12-2022,Scotland,Namibia,"United Cricket Club Ground, Windhoek",Namibia,field,0,3,Namibia
Windhoek,04-12-2022,Nepal,Scotland,"United Cricket Club Ground, Windhoek",Scotland,field,0,3,Scotland
Dhaka,04-12-2022,India,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,0,1,Bangladesh
Windhoek,02-12-2022,Nepal,Namibia,"United Cricket Club Ground, Windhoek",Namibia,field,0,0,
Windhoek,01-12-2022,Namibia,Scotland,"United Cricket Club Ground, Windhoek",Scotland,field,0,4,Scotland
Christchurch,30-11-2022,India,New Zealand,"Hagley Oval, Christchurch",New Zealand,field,0,0,
Kandy,30-11-2022,Afghanistan,Sri Lanka,Pallekele International Cricket Stadium,Afghanistan,bat,0,4,Sri Lanka
Hamilton,27-11-2022,India,New Zealand,"Seddon Park, Hamilton",New Zealand,field,0,0,
Kandy,27-11-2022,Afghanistan,Sri Lanka,Pallekele International Cricket Stadium,Afghanistan,bat,0,0,
Windhoek,26-11-2022,United States of America,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,0,6,Namibia
Auckland,25-11-2022,India,New Zealand,"Eden Park, Auckland",New Zealand,field,0,7,New Zealand
Kandy,25-11-2022,Afghanistan,Sri Lanka,Pallekele International Cricket Stadium,Afghanistan,bat,60,0,Afghanistan
Windhoek,25-11-2022,United States of America,Papua New Guinea,"Wanderers Cricket Ground, Windhoek",United States of America,bat,35,0,United States of America
Windhoek,23-11-2022,Papua New Guinea,Namibia,"Wanderers Cricket Ground, Windhoek",Papua New Guinea,bat,0,3,Namibia
Windhoek,22-11-2022,Papua New Guinea,United States of America,"Wanderers Cricket Ground, Windhoek",United States of America,field,0,6,United States of America
Melbourne,22-11-2022,Australia,England,Melbourne Cricket Ground,England,field,221,0,Australia
Windhoek,20-11-2022,United States of America,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,71,0,United States of America
Sydney,19-11-2022,Australia,England,Sydney Cricket Ground,Australia,bat,72,0,Australia
Windhoek,19-11-2022,Papua New Guinea,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,0,8,Namibia
Kirtipur,18-11-2022,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,0,6,Nepal
Adelaide,17-11-2022,England,Australia,Adelaide Oval,Australia,field,0,6,Australia
Kirtipur,16-11-2022,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",United Arab Emirates,bat,0,3,Nepal
Kirtipur,14-11-2022,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,84,0,United Arab Emirates
Delhi,11-10-2022,South Africa,India,"Arun Jaitley Stadium, Delhi",India,field,0,7,India
Ranchi,09-10-2022,South Africa,India,"JSCA International Stadium Complex, Ranchi",South Africa,bat,0,7,India
Lucknow,06-10-2022,South Africa,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",India,field,9,0,South Africa
Port Moresby,21-09-2022,Namibia,Papua New Guinea,"Amini Park, Port Moresby",Namibia,bat,61,0,Namibia
Port Moresby,20-09-2022,Namibia,Papua New Guinea,"Amini Park, Port Moresby",Namibia,bat,167,0,Namibia
Port Moresby,17-09-2022,Namibia,United States of America,"Amini Park, Port Moresby",United States of America,field,68,0,Namibia
Port Moresby,15-09-2022,Namibia,United States of America,"Amini Park, Port Moresby",Namibia,bat,79,0,Namibia
Port Moresby,13-09-2022,Papua New Guinea,United States of America,"Amini Park, Port Moresby",United States of America,field,26,0,Papua New Guinea
Port Moresby,11-09-2022,United States of America,Papua New Guinea,"Amini Park, Port Moresby",Papua New Guinea,field,0,0,
Cairns,11-09-2022,Australia,New Zealand,"Cazaly's Stadium, Cairns",New Zealand,field,25,0,Australia
Cairns,08-09-2022,Australia,New Zealand,"Cazaly's Stadium, Cairns",New Zealand,field,113,0,Australia
Cairns,06-09-2022,New Zealand,Australia,"Cazaly's Stadium, Cairns",Australia,field,0,2,Australia
Townsville,03-09-2022,Australia,Zimbabwe,"Riverway Stadium, Townsville",Zimbabwe,field,0,3,Zimbabwe
Townsville,31-08-2022,Zimbabwe,Australia,"Tony Ireland Stadium, Townsville",Australia,field,0,8,Australia
Townsville,28-08-2022,Zimbabwe,Australia,"Tony Ireland Stadium, Townsville",Australia,field,0,5,Australia
Harare,22-08-2022,India,Zimbabwe,Harare Sports Club,India,bat,13,0,India
Bridgetown,21-08-2022,West Indies,New Zealand,"Kensington Oval, Bridgetown, Barbados",New Zealand,field,0,5,New Zealand
Rotterdam,21-08-2022,Pakistan,Netherlands,"Hazelaarweg, Rotterdam",Pakistan,bat,9,0,Pakistan
Harare,20-08-2022,Zimbabwe,India,Harare Sports Club,India,field,0,5,India
Bridgetown,19-08-2022,New Zealand,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,50,0,New Zealand
Harare,18-08-2022,Zimbabwe,India,Harare Sports Club,India,field,0,10,India
Rotterdam,18-08-2022,Netherlands,Pakistan,"Hazelaarweg, Rotterdam",Netherlands,bat,0,7,Pakistan
Aberdeen,17-08-2022,Scotland,United States of America,"Mannofield Park, Aberdeen",United States of America,field,0,2,United States of America
Bridgetown,17-08-2022,New Zealand,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,0,5,West Indies
Rotterdam,16-08-2022,Pakistan,Netherlands,"Hazelaarweg, Rotterdam",Pakistan,bat,16,0,Pakistan
Aberdeen,14-08-2022,Scotland,United Arab Emirates,"Mannofield Park, Aberdeen",United Arab Emirates,field,86,0,Scotland
Aberdeen,13-08-2022,United States of America,Scotland,"Mannofield Park, Aberdeen",Scotland,field,0,5,Scotland
Aberdeen,11-08-2022,United Arab Emirates,United States of America,"Mannofield Park, Aberdeen",United Arab Emirates,bat,0,1,United States of America
Aberdeen,10-08-2022,Scotland,United Arab Emirates,"Mannofield Park, Aberdeen",Scotland,bat,64,0,Scotland
Harare,10-08-2022,Bangladesh,Zimbabwe,Harare Sports Club,Zimbabwe,field,105,0,Bangladesh
Harare,07-08-2022,Bangladesh,Zimbabwe,Harare Sports Club,Zimbabwe,field,0,5,Zimbabwe
Harare,05-08-2022,Bangladesh,Zimbabwe,Harare Sports Club,Zimbabwe,field,0,5,Zimbabwe
Edinburgh,31-07-2022,Scotland,New Zealand,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat,0,7,New Zealand
Port of Spain,27-07-2022,India,West Indies,"Queen's Park Oval, Port of Spain, Trinidad",India,bat,119,0,India
Port of Spain,24-07-2022,West Indies,India,"Queen's Park Oval, Port of Spain, Trinidad",West Indies,bat,0,2,India
Leeds,24-07-2022,South Africa,England,"Headingley, Leeds",South Africa,bat,0,0,
Manchester,22-07-2022,England,South Africa,"Old Trafford, Manchester",South Africa,field,118,0,England
Port of Spain,22-07-2022,India,West Indies,"Queen's Park Oval, Port of Spain, Trinidad",West Indies,field,3,0,India
Chester-le-Street,19-07-2022,South Africa,England,"Riverside Ground, Chester-le-Street",South Africa,bat,62,0,South Africa
Manchester,17-07-2022,England,India,"Old Trafford, Manchester",India,field,0,5,India
Glasgow,17-07-2022,Nepal,Scotland,"Titwood, Glasgow",Scotland,field,0,8,Scotland
Providence,16-07-2022,West Indies,Bangladesh,"Providence Stadium, Guyana",Bangladesh,field,0,4,Bangladesh
Ayr,16-07-2022,Namibia,Nepal,"Cambusdoon New Ground, Ayr",Namibia,bat,63,0,Namibia
Dublin,15-07-2022,New Zealand,Ireland,"The Village, Malahide, Dublin",New Zealand,bat,1,0,New Zealand
London,14-07-2022,England,India,"Lord's, London",India,field,100,0,England
Glasgow,14-07-2022,Namibia,Scotland,"Titwood, Glasgow",Scotland,field,0,3,Scotland
Glasgow,13-07-2022,Scotland,Nepal,"Titwood, Glasgow",Nepal,field,0,5,Nepal
Providence,13-07-2022,West Indies,Bangladesh,"Providence Stadium, Guyana",Bangladesh,field,0,9,Bangladesh
London,12-07-2022,England,India,"Kennington Oval, London",India,field,0,10,India
Dublin,12-07-2022,Ireland,New Zealand,"The Village, Malahide, Dublin",New Zealand,field,0,3,New Zealand
Ayr,11-07-2022,Namibia,Nepal,"Cambusdoon New Ground, Ayr",Namibia,bat,40,0,Namibia
Dublin,10-07-2022,Ireland,New Zealand,"The Village, Malahide, Dublin",New Zealand,field,0,1,New Zealand
Providence,10-07-2022,West Indies,Bangladesh,"Providence Stadium, Guyana",Bangladesh,field,0,6,Bangladesh
Colombo,24-06-2022,Sri Lanka,Australia,"R Premadasa Stadium, Colombo",Sri Lanka,bat,0,4,Australia
Amstelveen,22-06-2022,Netherlands,England,"VRA Ground, Amstelveen",England,field,0,8,England
Colombo,21-06-2022,Sri Lanka,Australia,"R Premadasa Stadium, Colombo",Australia,field,4,0,Sri Lanka
Amstelveen,19-06-2022,Netherlands,England,"VRA Ground, Amstelveen",Netherlands,bat,0,6,England
Colombo,19-06-2022,Australia,Sri Lanka,"R Premadasa Stadium, Colombo",Australia,bat,0,6,Sri Lanka
