city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Mirpur,05-10-2010,Bangladesh,New Zealand,Shere Bangla National Stadium,Bangladesh,bat,9,0,Bangladesh
Southampton,22-09-2010,England,Pakistan,The Rose Bowl,England,bat,121,0,England
London,20-09-2010,England,Pakistan,Lord's,Pakistan,bat,38,0,Pakistan
London,17-09-2010,England,Pakistan,Kennington Oval,Pakistan,bat,23,0,Pakistan
Leeds,12-09-2010,England,Pakistan,Headingley,Pakistan,bat,0,4,England
Chester-le-Street,10-09-2010,England,Pakistan,Riverside Ground,Pakistan,field,24,0,England
Toronto,06-09-2010,Canada,Ireland,"Toronto Cricket, Skating and Curling Club",Ireland,bat,4,0,Canada
,28-08-2010,Sri Lanka,India,Rangiri Dambulla International Stadium,Sri Lanka,bat,74,0,Sri Lanka
,25-08-2010,India,New Zealand,Rangiri Dambulla International Stadium,India,bat,105,0,India
,22-08-2010,Sri Lanka,India,Rangiri Dambulla International Stadium,India,bat,0,8,Sri Lanka
,20-08-2010,Sri Lanka,New Zealand,Rangiri Dambulla International Stadium,New Zealand,field,0,0,
Dublin,18-08-2010,Ireland,Netherlands,Clontarf Cricket Club Ground,Netherlands,bat,0,9,Ireland
Ayr,17-08-2010,Scotland,Afghanistan,Cambusdoon New Ground,Afghanistan,bat,0,6,Scotland
,16-08-2010,Sri Lanka,India,Rangiri Dambulla International Stadium,Sri Lanka,bat,0,6,India
Ayr,16-08-2010,Scotland,Afghanistan,Cambusdoon New Ground,Scotland,bat,0,9,Afghanistan
,13-08-2010,Sri Lanka,New Zealand,Rangiri Dambulla International Stadium,New Zealand,bat,0,3,Sri Lanka
,10-08-2010,India,New Zealand,Rangiri Dambulla International Stadium,New Zealand,bat,200,0,New Zealand
Belfast,16-07-2010,Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",Ireland,bat,0,6,Bangladesh
Birmingham,12-07-2010,England,Bangladesh,Edgbaston,Bangladesh,field,144,0,England
Bristol,10-07-2010,England,Bangladesh,County Ground,England,field,5,0,Bangladesh
Nottingham,08-07-2010,England,Bangladesh,Trent Bridge,Bangladesh,bat,0,6,England
Amstelveen,07-07-2010,Canada,Ireland,VRA Ground,Canada,bat,0,5,Ireland
London,03-07-2010,England,Australia,Lord's,Australia,bat,42,0,Australia
London,30-06-2010,England,Australia,Kennington Oval,England,field,78,0,Australia
Manchester,27-06-2010,England,Australia,Old Trafford,England,field,0,1,England
,24-06-2010,Sri Lanka,India,Rangiri Dambulla International Stadium,India,bat,81,0,India
Cardiff,24-06-2010,England,Australia,Sophia Gardens,Australia,bat,0,4,England
,22-06-2010,Sri Lanka,India,Rangiri Dambulla International Stadium,Sri Lanka,field,0,7,Sri Lanka
Southampton,22-06-2010,England,Australia,The Rose Bowl,Australia,bat,0,4,England
,21-06-2010,Bangladesh,Pakistan,Rangiri Dambulla International Stadium,Pakistan,bat,139,0,Pakistan
,19-06-2010,India,Pakistan,Rangiri Dambulla International Stadium,Pakistan,bat,0,3,India
,18-06-2010,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,Sri Lanka,bat,126,0,Sri Lanka
Dublin,17-06-2010,Ireland,Australia,Clontarf Cricket Club Ground,Australia,bat,39,0,Australia
,16-06-2010,Bangladesh,India,Rangiri Dambulla International Stadium,Bangladesh,bat,0,6,India
,15-06-2010,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka,bat,16,0,Sri Lanka
,09-06-2010,Zimbabwe,Sri Lanka,Harare Sports Club,Sri Lanka,field,0,9,Sri Lanka
,07-06-2010,Zimbabwe,Sri Lanka,Harare Sports Club,Zimbabwe,field,0,8,Zimbabwe
,05-06-2010,India,Sri Lanka,Harare Sports Club,Sri Lanka,field,0,6,Sri Lanka
Trinidad,03-06-2010,West Indies,South Africa,"Queen's Park Oval, Port of Spain",West Indies,bat,0,1,South Africa
,03-06-2010,Zimbabwe,India,Harare Sports Club,Zimbabwe,field,0,7,Zimbabwe
Bulawayo,01-06-2010,Zimbabwe,Sri Lanka,Queens Sports Club,Sri Lanka,field,0,9,Sri Lanka
Bulawayo,30-05-2010,India,Sri Lanka,Queens Sports Club,India,field,0,7,India
Dominica,30-05-2010,West Indies,South Africa,"Windsor Park, Roseau",West Indies,bat,0,7,South Africa
Dominica,28-05-2010,West Indies,South Africa,"Windsor Park, Roseau",South Africa,bat,67,0,South Africa
Bulawayo,28-05-2010,Zimbabwe,India,Queens Sports Club,India,bat,0,6,Zimbabwe
Antigua,24-05-2010,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",South Africa,bat,17,0,South Africa
Antigua,22-05-2010,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,66,0,South Africa
St Vincent,14-03-2010,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",West Indies,field,0,4,West Indies
Wellington,13-03-2010,New Zealand,Australia,Westpac Stadium,Australia,field,51,0,New Zealand
St Vincent,12-03-2010,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",West Indies,field,0,4,West Indies
Auckland,11-03-2010,New Zealand,Australia,Eden Park,Australia,field,0,6,Australia
St Vincent,10-03-2010,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",Zimbabwe,field,141,0,West Indies
Hamilton,09-03-2010,New Zealand,Australia,Seddon Park,Australia,field,0,6,Australia
Auckland,06-03-2010,New Zealand,Australia,Eden Park,Australia,bat,12,0,Australia
Guyana,06-03-2010,West Indies,Zimbabwe,Providence Stadium,Zimbabwe,bat,0,4,West Indies
